Name,Current Price,Old Price,Discount,Ratings
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,930",No old price,No discount,4.6 out of 5
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 3,827",No old price,No discount,4.6 out of 5
Seagrams Seagrams Imperial Blue Whiskey - 750ml,"KSh 1,143",No old price,No discount,4.4 out of 5
William Lawson's William Lawson's Scotch Whisky – 750ml,"KSh 1,990",No old price,No discount,4.5 out of 5
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 2,482",No old price,No discount,4.6 out of 5
Chrome Chrome Gin - 750ml,KSh 760,No old price,No discount,4.3 out of 5
William Lawson's William Lawsons Scotch Whisky - 1 Litre,"KSh 2,650",No old price,No discount,4.8 out of 5
Ballantine Ballantine Blended Scotch Whiskey - 1L,"KSh 3,309",No old price,No discount,4.5 out of 5
Johnnie Walker Johnnie Walker Red Label - 750 ML,"KSh 2,300",No old price,No discount,4.5 out of 5
Johnnie Walker Johnnie Walker Black 12Y - 750ml,"KSh 4,200",No old price,No discount,4.4 out of 5
Gilbey's Gilbey's Gilbeys Gin - 750 ML,"KSh 1,550",No old price,No discount,4.3 out of 5
Malibu Malibu Carribean Rum With Coconut Liqueur - 700ml,"KSh 2,060",No old price,No discount,4.7 out of 5
Johnnie Walker Johnnie Walker Red Label - 1 Litre,"KSh 2,800",No old price,No discount,4.6 out of 5
Absolut Absolut Vodka Blue - 750ml,"KSh 2,457",No old price,No discount,4.5 out of 5
Black & White Black & White Whisky - 750ml,"KSh 1,400",No old price,No discount,4.5 out of 5
Tusker Tusker Lager Can - 500ml - Pack of 6,"KSh 1,380",No old price,No discount,4.7 out of 5
Jacob's Creek Jacob's Creek Classic Merlot 750Ml,"KSh 1,439",No old price,No discount,4.6 out of 5
Bacardi Bacardi Carta Negra 750ml,"KSh 2,424","KSh 2,425",1%,4.5 out of 5
Johnnie Walker Johnnie Walker Black Label - 1litre,"KSh 5,200",No old price,No discount,4.4 out of 5
Singleton Singleton of Dufftown 12 yrs single malt whisky - 700ml,"KSh 5,800",No old price,No discount,4 out of 5
Absolut Absolut Absolut Vodka Blue - 750ml,"KSh 2,457",No old price,No discount,4.8 out of 5
Martini Martini Bianco 750ml,"KSh 2,645",No old price,No discount,4.6 out of 5
Bacardi Bacardi Carta De Oro 750ml,"KSh 2,425",No old price,No discount,4.6 out of 5
Guinness Guinness Stout Can 500ml - Pack Of 6,"KSh 1,371",No old price,No discount,4.4 out of 5
Martini Martini Fierro 750ml,"KSh 2,577",No old price,No discount,4.7 out of 5
Aquamist Aquamist Drinking Water – 18.5L,KSh 675,No old price,No discount,5 out of 5
Tusker Tusker Cider Can - 500ml - Pack Of 6,"KSh 1,680",No old price,No discount,4.4 out of 5
Tanqueray Tanqueray London Dry Gin - 750ml,"KSh 2,900",No old price,No discount,4.5 out of 5
Olmeca Olmeca Tequila Gold - 700ml,"KSh 2,948",No old price,No discount,5 out of 5
"All Seasons SEASON'S LEMONADE, 12 X 300 ML",KSh 650,No old price,No discount,3 out of 5
Inverroche Inverroche Classic Gin - 750ml,"KSh 5,484",No old price,No discount,4.9 out of 5
Bombay Bombay Sapphire Gin 750ml,"KSh 3,640",No old price,No discount,5 out of 5
Stoli Premium Vodka - 750ml,"KSh 1,950",No old price,No discount,No ratings
Martini Martini Prosecco,"KSh 2,119",No old price,No discount,4.7 out of 5
Bacardi Bacardi Carta blanca 750ml,"KSh 2,424","KSh 2,425",1%,5 out of 5
Urban Waters Urban Waters Purified Drinking Water - 5L,KSh 180,No old price,No discount,5 out of 5
AC BLACK PURE GRAIN WHISKY 1.0 LITRE + FREE GIFT,"KSh 2,000",No old price,No discount,5 out of 5
Smirnoff Smirnoff Red Vodka - 750ml,"KSh 1,550",No old price,No discount,4.8 out of 5
Absolut Vodka Citron - 750ML,"KSh 1,834",No old price,No discount,4.9 out of 5
Black Bird Natural Sweet White Wine - 750ml,"KSh 1,090","KSh 1,350",19%,4.3 out of 5
Malfy Malfy Gin Con Rosa - 750ml,"KSh 4,705",No old price,No discount,4.9 out of 5
Malfy Malfy Gin Con Limone - 750ml,"KSh 4,705",No old price,No discount,5 out of 5
William Lawson's WillIam Lawsons Spiced Whisky 700ml,"KSh 2,020",No old price,No discount,4.7 out of 5
Jameson Jameson Black Barrel Irish Whiskey - 750ml,"KSh 4,591",No old price,No discount,4.5 out of 5
The Glenlivet The Glenlivet Founders Reserve 12 Years - 700ml,"KSh 6,239",No old price,No discount,5 out of 5
Quencher Quencher Life Water - 5lts,KSh 197,No old price,No discount,5 out of 5
Bombay Bombay Sapphire Gin (Bramble) - 750ml,"KSh 4,275",No old price,No discount,4.6 out of 5
Johnnie Walker Johnnie Walker Gold Label Reserve - 750ml,"KSh 8,000","KSh 8,333",4%,No ratings
Jameson Irish Whiskey - 350ml,"KSh 1,399",No old price,No discount,2.5 out of 5
Campo Viejo Campo Viejo Reserva Red Wine - 750 ML,"KSh 2,319",No old price,No discount,4.7 out of 5
Bacardi Bacardi Spiced 700ml,"KSh 2,335","KSh 2,336",1%,4.3 out of 5
Martell Martell Cognac VS - 700ml,"KSh 4,336","KSh 4,690",8%,4.9 out of 5
Beefeater Beefeater London Dry Gin - 750ml,"KSh 2,886",No old price,No discount,4.7 out of 5
Martell Martell VSOP - 700ml,"KSh 9,461",No old price,No discount,4 out of 5
Olmeca Silver Tequila – 700ml,"KSh 2,948",No old price,No discount,4.8 out of 5
Martini Martini Rosso 750ml,"KSh 2,644","KSh 2,645",1%,4.7 out of 5
Inverroche Inverroche Verdant Gin - 750ml,"KSh 5,484",No old price,No discount,4.9 out of 5
Tanqueray Tanqueray Nº Ten - 750 ML,"KSh 5,100",No old price,No discount,5 out of 5
"Patron Anejo Premium Tequila, 40% ABV, 750ml","KSh 12,235",No old price,No discount,No ratings
"Patron Silver Premium Tequila, 40% ABV, 750ml","KSh 8,695",No old price,No discount,No ratings
Absolut Absolut Vanilla Flavoured Vodka - 750ml,"KSh 2,615",No old price,No discount,4.4 out of 5
"All Seasons SEASON'S LEMU, 12 X 300 ML CSD",KSh 650,No old price,No discount,No ratings
Bombay Bombay Dry Gin - 750ml,"KSh 2,276","KSh 2,277",1%,4.6 out of 5
Tommasi Tommasi Tommasi Pinot Grigio DOC Le Rosse White 750ml,"KSh 2,294",No old price,No discount,5 out of 5
Playa Del Sol Malbec Dry Red Wine - 750ml,"KSh 1,495","KSh 1,950",23%,5 out of 5
Alto Alto Carbarnet Sauvignon - 750ml,"KSh 4,714",No old price,No discount,5 out of 5
Van Loveren Red Muscadel 750ml,"KSh 1,630",No old price,No discount,No ratings
Carmela Sparkling White Semi-sweet Wine - 750ml,"KSh 1,600","KSh 1,800",11%,4.6 out of 5
Malfy Malfy Gin Originale - 750ml,"KSh 4,705",No old price,No discount,5 out of 5
Darling Cellars Darling Cellars Cinful Cinsaut – 750ml,"KSh 3,480",No old price,No discount,No ratings
Chivas Chivas XV 15 years scotch whiskey - 750ml,"KSh 7,323",No old price,No discount,3.6 out of 5
Zandvliet Zandvliet Shiraz 750ml,"KSh 2,260",No old price,No discount,No ratings
Baraka Chai Baraka Chai Tea 500G (resealable pack),"KSh 1,499",No old price,No discount,No ratings
SLIMMING TEA 28 Day Extreme Detox Weight loss Tea Fat burn Cleanse Appetite Control flat tummy tea small waist,"KSh 1,205","KSh 2,000",40%,No ratings
Vina Lastra White Dry Wine - 750ml,"KSh 1,130","KSh 1,400",19%,5 out of 5
Electio Dry White Chardonnay Wine - 750ml,"KSh 1,225","KSh 1,600",23%,4.5 out of 5
Absolut Absolut Mango Flavored Vodka - 750ml,"KSh 2,240",No old price,No discount,4.7 out of 5
Electio Dry White Sauvignon Blanc Wine - 750ml,"KSh 1,225","KSh 1,600",23%,4 out of 5
Vina Lastra Red Dry Wine - 750ml,"KSh 1,400",No old price,No discount,3.8 out of 5
"Cilmor Chenin Blanc Viognier Limited Edition Dry White, 750ml","KSh 2,500",No old price,No discount,No ratings
Bols Triple Sec Liqueur - 700ml,"KSh 2,100","KSh 2,500",16%,No ratings
Beefeater London Dry Gin - 750ml,"KSh 2,886",No old price,No discount,4.5 out of 5
